tanggal,curah_hujan
"01-01-2017,""4,5"""
"02-01-2017,""15,6"""
"03-01-2017,""4,5"""
04-01-2017,1
"05-01-2017,""1,2"""
"06-01-2017,""1,1"""
"07-01-2017,""4,5"""
"08-01-2017,""4,5"""
"09-01-2017,""4,5"""
"10-01-2017,""4,5"""
"11-01-2017,""4,5"""
"12-01-2017,""0,1"""
"13-01-2017,""4,5"""
"14-01-2017,""4,5"""
"15-01-2017,""4,5"""
"16-01-2017,""0,6"""
"17-01-2017,""4,5"""
"18-01-2017,""3,1"""
"19-01-2017,""1,5"""
"20-01-2017,""4,5"""
"21-01-2017,""0,1"""
"22-01-2017,""0,3"""
"23-01-2017,""0,3"""
"24-01-2017,""8,5"""
"25-01-2017,""4,5"""
"26-01-2017,""11,9"""
27-01-2017,21
"28-01-2017,""40,3"""
29-01-2017,1
"30-01-2017,""0,1"""
"31-01-2017,""20,8"""
"01-02-2017,""9,6"""
"02-02-2017,""14,4"""
"03-02-2017,""11,9"""
04-02-2017,2
"05-02-2017,""4,5"""
"06-02-2017,""4,5"""
"07-02-2017,""4,5"""
"08-02-2017,""4,5"""
"09-02-2017,""4,5"""
"10-02-2017,""4,5"""
"11-02-2017,""1,7"""
"12-02-2017,""4,5"""
"13-02-2017,""54,9"""
"14-02-2017,""0,3"""
"15-02-2017,""7,2"""
"16-02-2017,""4,5"""
"17-02-2017,""4,5"""
"18-02-2017,""8,8"""
"19-02-2017,""57,1"""
"20-02-2017,""4,5"""
"21-02-2017,""4,5"""
"22-02-2017,""4,5"""
"23-02-2017,""4,5"""
"24-02-2017,""107,2"""
"25-02-2017,""19,7"""
"26-02-2017,""19,7"""
"27-02-2017,""51,5"""
"28-02-2017,""0,4"""
"01-03-2017,""6,2"""
"02-03-2017,""11,4"""
"03-03-2017,""0,6"""
"04-03-2017,""18,6"""
"05-03-2017,""1,9"""
"06-03-2017,""5,1"""
"07-03-2017,""4,5"""
"08-03-2017,""12,9"""
"09-03-2017,""12,4"""
"10-03-2017,""12,5"""
"11-03-2017,""16,6"""
"12-03-2017,""30,8"""
"13-03-2017,""2,3"""
"14-03-2017,""4,5"""
"15-03-2017,""16,5"""
"16-03-2017,""4,5"""
"17-03-2017,""4,5"""
"18-03-2017,""6,8"""
"19-03-2017,""4,5"""
"20-03-2017,""4,5"""
"21-03-2017,""83,3"""
"22-03-2017,""4,5"""
"23-03-2017,""20,4"""
"24-03-2017,""0,4"""
"25-03-2017,""4,5"""
"26-03-2017,""8,4"""
"27-03-2017,""21,4"""
"28-03-2017,""4,5"""
29-03-2017,1
"30-03-2017,""4,5"""
"31-03-2017,""4,5"""
"01-04-2017,""4,5"""
"02-04-2017,""4,5"""
"03-04-2017,""2,8"""
"04-04-2017,""2,8"""
"05-04-2017,""4,5"""
"06-04-2017,""14,1"""
"07-04-2017,""4,5"""
"08-04-2017,""3,8"""
"09-04-2017,""31,8"""
"10-04-2017,""29,3"""
11-04-2017,0
"12-04-2017,""4,5"""
"13-04-2017,""4,5"""
"14-04-2017,""2,6"""
"15-04-2017,""4,5"""
"16-04-2017,""4,5"""
17-04-2017,1
"18-04-2017,""4,5"""
"19-04-2017,""29,3"""
20-04-2017,2
"21-04-2017,""18,9"""
22-04-2017,0
"23-04-2017,""4,5"""
"24-04-2017,""2,4"""
"25-04-2017,""7,5"""
"26-04-2017,""1,4"""
"27-04-2017,""4,5"""
"28-04-2017,""4,5"""
"29-04-2017,""4,5"""
"30-04-2017,""12,8"""
"01-05-2017,""4,5"""
"02-05-2017,""4,5"""
03-05-2017,0
"04-05-2017,""7,3"""
"05-05-2017,""4,5"""
"06-05-2017,""24,6"""
"07-05-2017,""3,5"""
08-05-2017,0
"09-05-2017,""4,5"""
"10-05-2017,""4,5"""
"11-05-2017,""4,5"""
"12-05-2017,""4,5"""
"13-05-2017,""32,5"""
14-05-2017,4
"15-05-2017,""68,9"""
"16-05-2017,""35,3"""
"17-05-2017,""12,6"""
"18-05-2017,""3,9"""
"19-05-2017,""0,8"""
"20-05-2017,""73,2"""
"21-05-2017,""38,3"""
"22-05-2017,""7,4"""
"23-05-2017,""8,4"""
"24-05-2017,""8,7"""
"25-05-2017,""4,5"""
"26-05-2017,""60,9"""
"27-05-2017,""0,1"""
"28-05-2017,""14,1"""
"29-05-2017,""0,8"""
30-05-2017,25
"31-05-2017,""6,1"""
"01-06-2017,""38,9"""
"02-06-2017,""26,3"""
"03-06-2017,""66,6"""
04-06-2017,5
05-06-2017,40
"06-06-2017,""6,5"""
07-06-2017,20
"08-06-2017,""4,5"""
"09-06-2017,""4,5"""
"10-06-2017,""5,1"""
"11-06-2017,""4,5"""
"12-06-2017,""15,7"""
"13-06-2017,""29,8"""
14-06-2017,42
"15-06-2017,""35,5"""
"16-06-2017,""19,8"""
"17-06-2017,""11,8"""
"18-06-2017,""5,2"""
"19-06-2017,""24,4"""
"20-06-2017,""14,5"""
"21-06-2017,""15,3"""
"22-06-2017,""15,5"""
23-06-2017,0
"24-06-2017,""9,4"""
25-06-2017,3
26-06-2017,2
27-06-2017,0
"28-06-2017,""9,8"""
"29-06-2017,""4,5"""
"30-06-2017,""4,5"""
"01-07-2017,""28,3"""
02-07-2017,1
"03-07-2017,""23,5"""
"04-07-2017,""18,1"""
"05-07-2017,""4,5"""
06-07-2017,13
"07-07-2017,""20,5"""
"08-07-2017,""12,6"""
"09-07-2017,""9,8"""
"10-07-2017,""0,2"""
"11-07-2017,""0,7"""
12-07-2017,10
"13-07-2017,""4,8"""
"14-07-2017,""6,8"""
"15-07-2017,""2,7"""
"16-07-2017,""7,3"""
"17-07-2017,""1,6"""
"18-07-2017,""4,1"""
"19-07-2017,""6,9"""
"20-07-2017,""18,4"""
"21-07-2017,""21,1"""
"22-07-2017,""32,7"""
"23-07-2017,""6,4"""
"24-07-2017,""16,9"""
"25-07-2017,""4,5"""
"26-07-2017,""4,5"""
"27-07-2017,""25,9"""
"28-07-2017,""4,5"""
"29-07-2017,""0,1"""
"30-07-2017,""1,1"""
"31-07-2017,""0,5"""
"01-08-2017,""4,5"""
"02-08-2017,""4,5"""
"03-08-2017,""4,5"""
"04-08-2017,""4,5"""
"05-08-2017,""3,5"""
"06-08-2017,""22,3"""
"07-08-2017,""4,5"""
"08-08-2017,""4,5"""
"09-08-2017,""6,2"""
"10-08-2017,""26,4"""
"11-08-2017,""14,9"""
"12-08-2017,""14,6"""
"13-08-2017,""4,5"""
"14-08-2017,""74,1"""
"15-08-2017,""32,5"""
"16-08-2017,""0,2"""
"17-08-2017,""12,8"""
"18-08-2017,""4,5"""
"19-08-2017,""41,2"""
"20-08-2017,""4,5"""
"21-08-2017,""68,1"""
"22-08-2017,""8,3"""
"23-08-2017,""0,5"""
24-08-2017,0
"25-08-2017,""15,1"""
"26-08-2017,""21,1"""
"27-08-2017,""0,7"""
"28-08-2017,""61,8"""
"29-08-2017,""4,2"""
"30-08-2017,""4,5"""
"31-08-2017,""0,1"""
"01-09-2017,""13,8"""
"02-09-2017,""22,4"""
"03-09-2017,""1,8"""
04-09-2017,0
"05-09-2017,""0,3"""
"06-09-2017,""11,9"""
"07-09-2017,""2,4"""
"08-09-2017,""90,7"""
"09-09-2017,""2,6"""
"10-09-2017,""2,6"""
"11-09-2017,""45,6"""
"12-09-2017,""43,6"""
"13-09-2017,""39,3"""
"14-09-2017,""38,8"""
"15-09-2017,""12,6"""
16-09-2017,8
"17-09-2017,""17,9"""
"18-09-2017,""3,4"""
"19-09-2017,""50,5"""
"20-09-2017,""78,6"""
"21-09-2017,""4,5"""
"22-09-2017,""38,4"""
23-09-2017,0
"24-09-2017,""66,1"""
"25-09-2017,""24,6"""
"26-09-2017,""13,7"""
"27-09-2017,""9,3"""
"28-09-2017,""0,5"""
"29-09-2017,""4,3"""
"30-09-2017,""9,7"""
"01-10-2017,""7,1"""
"02-10-2017,""37,6"""
"03-10-2017,""14,6"""
"04-10-2017,""5,4"""
"05-10-2017,""43,6"""
"06-10-2017,""0,4"""
"07-10-2017,""4,5"""
"08-10-2017,""33,4"""
"09-10-2017,""0,9"""
"10-10-2017,""6,2"""
"11-10-2017,""1,3"""
"12-10-2017,""4,5"""
"13-10-2017,""0,1"""
14-10-2017,5
"15-10-2017,""0,3"""
"16-10-2017,""37,1"""
"17-10-2017,""6,5"""
"18-10-2017,""1,5"""
"19-10-2017,""4,5"""
"20-10-2017,""4,5"""
21-10-2017,3
22-10-2017,0
"23-10-2017,""4,5"""
"24-10-2017,""4,5"""
"25-10-2017,""4,5"""
"26-10-2017,""4,5"""
"27-10-2017,""4,5"""
28-10-2017,0
"29-10-2017,""4,5"""
"30-10-2017,""4,5"""
"31-10-2017,""4,5"""
01-11-2017,0
02-11-2017,0
"03-11-2017,""0,8"""
"04-11-2017,""4,5"""
"05-11-2017,""4,5"""
"06-11-2017,""4,5"""
"07-11-2017,""4,5"""
08-11-2017,0
"09-11-2017,""0,2"""
10-11-2017,23
"11-11-2017,""9,4"""
"12-11-2017,""2,3"""
13-11-2017,1
"14-11-2017,""0,8"""
"15-11-2017,""0,2"""
"16-11-2017,""0,7"""
"17-11-2017,""0,4"""
"18-11-2017,""4,5"""
"19-11-2017,""0,5"""
"20-11-2017,""4,5"""
21-11-2017,0
"22-11-2017,""2,2"""
"23-11-2017,""2,9"""
"24-11-2017,""4,5"""
"25-11-2017,""4,5"""
"26-11-2017,""22,4"""
"27-11-2017,""4,5"""
"28-11-2017,""4,5"""
"29-11-2017,""1,3"""
"30-11-2017,""17,1"""
"01-12-2017,""4,5"""
"02-12-2017,""4,5"""
"03-12-2017,""4,5"""
"04-12-2017,""4,5"""
"05-12-2017,""4,5"""
"06-12-2017,""4,5"""
"07-12-2017,""3,8"""
"08-12-2017,""4,5"""
"09-12-2017,""1,6"""
"10-12-2017,""14,3"""
"11-12-2017,""11,5"""
12-12-2017,2
"13-12-2017,""4,5"""
"14-12-2017,""4,5"""
"15-12-2017,""0,1"""
"16-12-2017,""5,5"""
"17-12-2017,""4,5"""
"18-12-2017,""4,5"""
19-12-2017,15
"20-12-2017,""15,1"""
"21-12-2017,""4,5"""
"22-12-2017,""4,5"""
"23-12-2017,""0,4"""
"24-12-2017,""4,5"""
"25-12-2017,""4,5"""
"26-12-2017,""4,5"""
"27-12-2017,""1,7"""
"28-12-2017,""8,7"""
"29-12-2017,""36,9"""
"30-12-2017,""3,3"""
"31-12-2017,""4,5"""
"01-01-2018,""4,5"""
"02-01-2018,""4,5"""
"03-01-2018,""4,5"""
"04-01-2018,""0,6"""
"05-01-2018,""13,4"""
"06-01-2018,""12,7"""
"07-01-2018,""0,8"""
"08-01-2018,""0,2"""
"09-01-2018,""4,3"""
"10-01-2018,""0,4"""
"11-01-2018,""28,5"""
"12-01-2018,""4,5"""
"13-01-2018,""14,5"""
"14-01-2018,""11,7"""
15-01-2018,5
16-01-2018,32
"17-01-2018,""1,2"""
18-01-2018,0
"19-01-2018,""4,5"""
"20-01-2018,""15,1"""
"21-01-2018,""0,2"""
"22-01-2018,""13,3"""
"23-01-2018,""4,5"""
"24-01-2018,""2,7"""
"25-01-2018,""0,8"""
"26-01-2018,""1,6"""
27-01-2018,2
"28-01-2018,""4,5"""
"29-01-2018,""4,5"""
30-01-2018,0
31-01-2018,2
"01-02-2018,""4,5"""
02-02-2018,1
"03-02-2018,""0,8"""
"04-02-2018,""17,5"""
"05-02-2018,""4,5"""
"06-02-2018,""0,2"""
07-02-2018,0
"08-02-2018,""2,5"""
09-02-2018,4
10-02-2018,0
"11-02-2018,""4,5"""
"12-02-2018,""48,1"""
"13-02-2018,""13,1"""
"14-02-2018,""1,2"""
"15-02-2018,""4,3"""
"16-02-2018,""2,1"""
17-02-2018,4
18-02-2018,1
19-02-2018,1
"20-02-2018,""4,5"""
"21-02-2018,""4,5"""
"22-02-2018,""4,5"""
"23-02-2018,""4,5"""
"24-02-2018,""4,5"""
"25-02-2018,""4,5"""
"26-02-2018,""20,4"""
"27-02-2018,""4,8"""
"28-02-2018,""4,5"""
"01-03-2018,""4,5"""
"02-03-2018,""1,2"""
03-03-2018,32
"04-03-2018,""0,2"""
"05-03-2018,""4,5"""
"06-03-2018,""4,5"""
"07-03-2018,""14,6"""
"08-03-2018,""4,5"""
"09-03-2018,""8,1"""
"10-03-2018,""4,5"""
"11-03-2018,""4,5"""
"12-03-2018,""4,5"""
"13-03-2018,""4,5"""
"14-03-2018,""12,8"""
"15-03-2018,""4,5"""
"16-03-2018,""0,3"""
"17-03-2018,""4,5"""
"18-03-2018,""4,5"""
"19-03-2018,""4,5"""
"20-03-2018,""1,2"""
"21-03-2018,""3,1"""
"22-03-2018,""1,8"""
"23-03-2018,""2,4"""
"24-03-2018,""7,6"""
"25-03-2018,""4,5"""
26-03-2018,0
"27-03-2018,""5,8"""
"28-03-2018,""4,8"""
"29-03-2018,""1,4"""
"30-03-2018,""4,5"""
"31-03-2018,""6,4"""
01-04-2018,9
"02-04-2018,""11,9"""
"03-04-2018,""9,2"""
"04-04-2018,""5,3"""
05-04-2018,3
"06-04-2018,""4,5"""
"07-04-2018,""4,5"""
"08-04-2018,""4,5"""
"09-04-2018,""0,5"""
"10-04-2018,""0,6"""
"11-04-2018,""7,6"""
"12-04-2018,""13,4"""
"13-04-2018,""10,4"""
"14-04-2018,""0,4"""
"15-04-2018,""1,9"""
16-04-2018,0
"17-04-2018,""9,8"""
18-04-2018,46
"19-04-2018,""4,5"""
"20-04-2018,""24,7"""
"21-04-2018,""4,5"""
"22-04-2018,""4,5"""
"23-04-2018,""4,5"""
"24-04-2018,""0,3"""
"25-04-2018,""4,5"""
"26-04-2018,""51,6"""
"27-04-2018,""4,5"""
"28-04-2018,""4,5"""
"29-04-2018,""4,5"""
"30-04-2018,""7,1"""
"01-05-2018,""4,5"""
"02-05-2018,""4,5"""
"03-05-2018,""4,5"""
"04-05-2018,""3,7"""
"05-05-2018,""11,2"""
06-05-2018,4
"07-05-2018,""4,9"""
"08-05-2018,""0,3"""
"09-05-2018,""4,7"""
"10-05-2018,""4,5"""
11-05-2018,50
"12-05-2018,""4,5"""
"13-05-2018,""7,8"""
"14-05-2018,""4,8"""
"15-05-2018,""0,5"""
"16-05-2018,""4,1"""
"17-05-2018,""7,6"""
18-05-2018,9
19-05-2018,15
"20-05-2018,""0,5"""
"21-05-2018,""6,6"""
"22-05-2018,""4,5"""
"23-05-2018,""6,5"""
"24-05-2018,""2,9"""
"25-05-2018,""4,5"""
"26-05-2018,""8,3"""
27-05-2018,63
"28-05-2018,""19,8"""
"29-05-2018,""0,3"""
30-05-2018,10
"31-05-2018,""0,8"""
"01-06-2018,""1,4"""
"02-06-2018,""0,1"""
"03-06-2018,""15,3"""
"04-06-2018,""9,6"""
"05-06-2018,""13,5"""
"06-06-2018,""4,5"""
"07-06-2018,""4,5"""
"08-06-2018,""4,5"""
"09-06-2018,""3,1"""
"10-06-2018,""1,4"""
"11-06-2018,""5,8"""
"12-06-2018,""19,4"""
"13-06-2018,""1,2"""
"14-06-2018,""41,4"""
"15-06-2018,""0,2"""
16-06-2018,0
"17-06-2018,""48,8"""
"18-06-2018,""3,6"""
"19-06-2018,""23,6"""
"20-06-2018,""1,5"""
"21-06-2018,""33,6"""
"22-06-2018,""4,5"""
"23-06-2018,""5,7"""
"24-06-2018,""18,3"""
"25-06-2018,""4,5"""
"26-06-2018,""21,8"""
"27-06-2018,""5,3"""
"28-06-2018,""28,7"""
"29-06-2018,""34,3"""
"30-06-2018,""4,5"""
"01-07-2018,""17,5"""
"02-07-2018,""40,2"""
"03-07-2018,""35,5"""
"04-07-2018,""3,5"""
"05-07-2018,""12,9"""
"06-07-2018,""28,4"""
"07-07-2018,""4,5"""
"08-07-2018,""4,5"""
"09-07-2018,""43,7"""
"10-07-2018,""0,1"""
"11-07-2018,""4,5"""
"12-07-2018,""4,5"""
"13-07-2018,""2,1"""
"14-07-2018,""98,7"""
"15-07-2018,""0,2"""
"16-07-2018,""4,5"""
"17-07-2018,""0,4"""
"18-07-2018,""0,5"""
"19-07-2018,""1,4"""
"20-07-2018,""4,5"""
"21-07-2018,""4,5"""
"22-07-2018,""0,3"""
"23-07-2018,""3,9"""
"24-07-2018,""0,8"""
"25-07-2018,""0,1"""
"26-07-2018,""4,5"""
"27-07-2018,""4,5"""
"28-07-2018,""2,3"""
"29-07-2018,""0,4"""
"30-07-2018,""3,8"""
"31-07-2018,""0,3"""
"01-08-2018,""4,5"""
"02-08-2018,""10,5"""
"03-08-2018,""27,2"""
"04-08-2018,""4,5"""
05-08-2018,0
"06-08-2018,""4,5"""
"07-08-2018,""4,5"""
"08-08-2018,""4,5"""
"09-08-2018,""1,8"""
10-08-2018,30
"11-08-2018,""18,5"""
"12-08-2018,""4,5"""
"13-08-2018,""4,5"""
"14-08-2018,""4,5"""
"15-08-2018,""4,5"""
"16-08-2018,""4,5"""
17-08-2018,0
"18-08-2018,""4,5"""
"19-08-2018,""4,5"""
"20-08-2018,""4,5"""
"21-08-2018,""4,2"""
"22-08-2018,""0,5"""
"23-08-2018,""4,5"""
"24-08-2018,""0,3"""
25-08-2018,35
"26-08-2018,""1,2"""
"27-08-2018,""4,5"""
"28-08-2018,""4,5"""
"29-08-2018,""0,3"""
"30-08-2018,""0,1"""
31-08-2018,19
"01-09-2018,""4,5"""
"02-09-2018,""0,1"""
"03-09-2018,""4,5"""
"04-09-2018,""12,7"""
"05-09-2018,""0,6"""
"06-09-2018,""30,5"""
"07-09-2018,""1,3"""
"08-09-2018,""0,6"""
"09-09-2018,""4,4"""
"10-09-2018,""4,5"""
11-09-2018,13
"12-09-2018,""4,5"""
"13-09-2018,""4,5"""
14-09-2018,8
"15-09-2018,""26,7"""
"16-09-2018,""2,1"""
"17-09-2018,""4,5"""
"18-09-2018,""7,5"""
"19-09-2018,""4,5"""
"20-09-2018,""4,5"""
"21-09-2018,""4,5"""
"22-09-2018,""4,5"""
"23-09-2018,""4,5"""
24-09-2018,0
"25-09-2018,""4,5"""
"26-09-2018,""4,5"""
"27-09-2018,""4,5"""
"28-09-2018,""4,5"""
"29-09-2018,""1,6"""
30-09-2018,0
"01-10-2018,""0,2"""
"02-10-2018,""2,3"""
"03-10-2018,""37,3"""
"04-10-2018,""17,5"""
"05-10-2018,""12,6"""
06-10-2018,1
"07-10-2018,""5,9"""
"08-10-2018,""0,2"""
"09-10-2018,""0,6"""
"10-10-2018,""4,5"""
11-10-2018,6
"12-10-2018,""30,5"""
13-10-2018,7
"14-10-2018,""10,8"""
"15-10-2018,""11,2"""
16-10-2018,2
"17-10-2018,""55,9"""
18-10-2018,3
"19-10-2018,""4,5"""
"20-10-2018,""2,5"""
"21-10-2018,""13,3"""
"22-10-2018,""8,8"""
"23-10-2018,""4,3"""
"24-10-2018,""4,5"""
"25-10-2018,""4,5"""
"26-10-2018,""4,5"""
"27-10-2018,""4,5"""
"28-10-2018,""4,5"""
"29-10-2018,""4,5"""
"30-10-2018,""4,5"""
"31-10-2018,""4,5"""
"01-11-2018,""1,1"""
"02-11-2018,""1,4"""
"03-11-2018,""58,7"""
"04-11-2018,""3,1"""
"05-11-2018,""0,4"""
06-11-2018,0
"07-11-2018,""1,7"""
08-11-2018,1
09-11-2018,1
10-11-2018,0
11-11-2018,0
"12-11-2018,""1,8"""
"13-11-2018,""4,5"""
"14-11-2018,""33,8"""
"15-11-2018,""10,3"""
16-11-2018,3
"17-11-2018,""16,3"""
"18-11-2018,""5,2"""
"19-11-2018,""6,4"""
20-11-2018,56
"21-11-2018,""4,5"""
"22-11-2018,""4,5"""
"23-11-2018,""4,5"""
"24-11-2018,""4,5"""
"25-11-2018,""3,1"""
"26-11-2018,""4,5"""
27-11-2018,0
"28-11-2018,""4,5"""
"29-11-2018,""4,5"""
"30-11-2018,""11,5"""
"01-12-2018,""0,2"""
02-12-2018,0
"03-12-2018,""0,2"""
04-12-2018,0
"05-12-2018,""0,3"""
"06-12-2018,""1,4"""
"07-12-2018,""0,4"""
"08-12-2018,""31,8"""
"09-12-2018,""8,2"""
"10-12-2018,""9,1"""
"11-12-2018,""1,4"""
"12-12-2018,""4,5"""
"13-12-2018,""4,5"""
"14-12-2018,""4,9"""
"15-12-2018,""37,7"""
"16-12-2018,""6,2"""
"17-12-2018,""17,9"""
"18-12-2018,""29,2"""
"19-12-2018,""4,5"""
"20-12-2018,""4,5"""
"21-12-2018,""4,5"""
"22-12-2018,""13,4"""
"23-12-2018,""9,3"""
24-12-2018,0
"25-12-2018,""0,5"""
"26-12-2018,""5,2"""
"27-12-2018,""4,5"""
28-12-2018,0
"29-12-2018,""4,5"""
"30-12-2018,""4,5"""
"31-12-2018,""2,2"""
"01-01-2019,""4,5"""
02-01-2019,0
"03-01-2019,""4,5"""
"04-01-2019,""0,2"""
"05-01-2019,""4,5"""
"06-01-2019,""4,5"""
"07-01-2019,""4,5"""
"08-01-2019,""0,9"""
09-01-2019,45
"10-01-2019,""4,5"""
11-01-2019,0
"12-01-2019,""4,5"""
"13-01-2019,""0,5"""
14-01-2019,0
"15-01-2019,""1,9"""
"16-01-2019,""31,6"""
"17-01-2019,""6,2"""
"18-01-2019,""16,6"""
"19-01-2019,""6,1"""
20-01-2019,0
21-01-2019,0
"22-01-2019,""4,5"""
"23-01-2019,""4,5"""
24-01-2019,0
25-01-2019,0
26-01-2019,0
"27-01-2019,""7,5"""
28-01-2019,0
"29-01-2019,""8,3"""
30-01-2019,6
"31-01-2019,""4,5"""
"01-02-2019,""6,8"""
"02-02-2019,""17,8"""
"03-02-2019,""31,9"""
04-02-2019,0
05-02-2019,0
06-02-2019,0
"07-02-2019,""0,2"""
"08-02-2019,""0,2"""
"09-02-2019,""1,2"""
10-02-2019,0
"11-02-2019,""0,6"""
12-02-2019,0
13-02-2019,0
14-02-2019,8
"15-02-2019,""39,6"""
16-02-2019,0
"17-02-2019,""4,5"""
"18-02-2019,""2,1"""
"19-02-2019,""11,3"""
20-02-2019,8
21-02-2019,0
22-02-2019,16
23-02-2019,0
24-02-2019,2
"25-02-2019,""0,7"""
"26-02-2019,""1,6"""
"27-02-2019,""0,2"""
28-02-2019,0
"01-03-2019,""3,9"""
"02-03-2019,""8,3"""
"03-03-2019,""4,5"""
"04-03-2019,""7,9"""
"05-03-2019,""2,5"""
"06-03-2019,""4,5"""
"07-03-2019,""10,4"""
"08-03-2019,""55,4"""
"09-03-2019,""4,8"""
"10-03-2019,""4,5"""
11-03-2019,0
12-03-2019,0
"13-03-2019,""21,7"""
"14-03-2019,""0,7"""
15-03-2019,0
"16-03-2019,""4,5"""
17-03-2019,5
"18-03-2019,""4,5"""
"19-03-2019,""4,5"""
"20-03-2019,""4,5"""
"21-03-2019,""4,5"""
"22-03-2019,""4,5"""
23-03-2019,0
24-03-2019,0
25-03-2019,0
26-03-2019,0
"27-03-2019,""4,5"""
"28-03-2019,""4,5"""
"29-03-2019,""4,5"""
"30-03-2019,""4,5"""
"31-03-2019,""1,4"""
01-04-2019,0
"02-04-2019,""4,5"""
03-04-2019,0
04-04-2019,0
"05-04-2019,""4,5"""
"06-04-2019,""4,5"""
"07-04-2019,""4,5"""
"08-04-2019,""4,5"""
"09-04-2019,""4,5"""
10-04-2019,0
11-04-2019,0
"12-04-2019,""21,1"""
"13-04-2019,""0,7"""
"14-04-2019,""4,5"""
"15-04-2019,""4,5"""
"16-04-2019,""4,5"""
"17-04-2019,""1,3"""
"18-04-2019,""0,3"""
"19-04-2019,""17,5"""
"20-04-2019,""7,8"""
"21-04-2019,""4,5"""
"22-04-2019,""4,5"""
"23-04-2019,""12,2"""
"24-04-2019,""4,5"""
"25-04-2019,""50,2"""
"26-04-2019,""1,4"""
"27-04-2019,""5,8"""
"28-04-2019,""4,3"""
"29-04-2019,""55,4"""
30-04-2019,63
"01-05-2019,""4,5"""
02-05-2019,1
03-05-2019,0
"04-05-2019,""0,2"""
05-05-2019,0
"06-05-2019,""4,5"""
"07-05-2019,""4,5"""
08-05-2019,0
09-05-2019,0
"10-05-2019,""4,5"""
"11-05-2019,""14,7"""
12-05-2019,0
13-05-2019,0
"14-05-2019,""4,5"""
"15-05-2019,""0,4"""
16-05-2019,1
"17-05-2019,""4,5"""
18-05-2019,0
19-05-2019,0
20-05-2019,8
"21-05-2019,""4,5"""
22-05-2019,0
"23-05-2019,""4,5"""
24-05-2019,0
"25-05-2019,""4,5"""
"26-05-2019,""40,6"""
"27-05-2019,""14,8"""
"28-05-2019,""5,1"""
"29-05-2019,""4,5"""
"30-05-2019,""0,1"""
"31-05-2019,""92,5"""
"01-06-2019,""15,3"""
02-06-2019,65
03-06-2019,0
"04-06-2019,""61,5"""
"05-06-2019,""1,6"""
06-06-2019,0
"07-06-2019,""1,6"""
08-06-2019,25
"09-06-2019,""71,7"""
"10-06-2019,""26,1"""
"11-06-2019,""6,2"""
"12-06-2019,""6,4"""
"13-06-2019,""15,3"""
"14-06-2019,""4,2"""
