tanggal,curah_hujan
"15-06-2019,""13,7"""
"16-06-2019,""0,9"""
17-06-2019,30
"18-06-2019,""6,5"""
"19-06-2019,""0,8"""
"20-06-2019,""3,3"""
"21-06-2019,""4,5"""
"22-06-2019,""4,5"""
"23-06-2019,""4,5"""
"24-06-2019,""4,5"""
"25-06-2019,""4,5"""
"26-06-2019,""4,5"""
"27-06-2019,""4,5"""
"28-06-2019,""0,4"""
"29-06-2019,""14,4"""
"30-06-2019,""1,5"""
"01-07-2019,""7,2"""
"02-07-2019,""2,3"""
03-07-2019,32
"04-07-2019,""60,2"""
"05-07-2019,""10,9"""
"06-07-2019,""4,5"""
"07-07-2019,""4,5"""
"08-07-2019,""18,2"""
09-07-2019,11
"10-07-2019,""6,8"""
"11-07-2019,""27,9"""
"12-07-2019,""0,1"""
"13-07-2019,""4,5"""
"14-07-2019,""4,5"""
"15-07-2019,""4,5"""
"16-07-2019,""4,5"""
17-07-2019,13
"18-07-2019,""12,4"""
"19-07-2019,""4,5"""
"20-07-2019,""0,4"""
21-07-2019,1
"22-07-2019,""11,6"""
"23-07-2019,""17,9"""
"24-07-2019,""4,9"""
"25-07-2019,""1,1"""
"26-07-2019,""49,8"""
"27-07-2019,""4,5"""
"28-07-2019,""0,6"""
29-07-2019,7
30-07-2019,0
"31-07-2019,""4,1"""
"01-08-2019,""4,5"""
02-08-2019,0
"03-08-2019,""1,1"""
"04-08-2019,""1,2"""
"05-08-2019,""1,3"""
"06-08-2019,""0,1"""
"07-08-2019,""4,5"""
"08-08-2019,""4,5"""
"09-08-2019,""14,4"""
"10-08-2019,""8,5"""
11-08-2019,0
12-08-2019,0
"13-08-2019,""0,3"""
"14-08-2019,""4,5"""
15-08-2019,0
"16-08-2019,""4,5"""
"17-08-2019,""1,3"""
"18-08-2019,""19,2"""
"19-08-2019,""60,6"""
"20-08-2019,""17,8"""
"21-08-2019,""0,4"""
"22-08-2019,""0,2"""
"23-08-2019,""0,2"""
24-08-2019,2
"25-08-2019,""4,5"""
"26-08-2019,""4,5"""
"27-08-2019,""0,2"""
28-08-2019,1
"29-08-2019,""11,7"""
"30-08-2019,""4,5"""
"31-08-2019,""0,1"""
01-09-2019,0
"02-09-2019,""4,5"""
"03-09-2019,""4,5"""
"04-09-2019,""3,2"""
"05-09-2019,""0,3"""
"06-09-2019,""4,5"""
"07-09-2019,""4,5"""
"08-09-2019,""4,5"""
"09-09-2019,""4,5"""
"10-09-2019,""4,5"""
"11-09-2019,""4,5"""
"12-09-2019,""0,1"""
"13-09-2019,""4,5"""
"14-09-2019,""4,5"""
15-09-2019,0
"16-09-2019,""4,5"""
"17-09-2019,""4,5"""
"18-09-2019,""4,5"""
"19-09-2019,""4,5"""
"20-09-2019,""7,5"""
"21-09-2019,""6,3"""
"22-09-2019,""4,5"""
"23-09-2019,""4,5"""
"24-09-2019,""4,5"""
"25-09-2019,""4,5"""
"26-09-2019,""8,4"""
"27-09-2019,""4,5"""
"28-09-2019,""2,4"""
"29-09-2019,""6,6"""
"30-09-2019,""21,1"""
"01-10-2019,""0,8"""
"02-10-2019,""46,8"""
"03-10-2019,""0,7"""
"04-10-2019,""16,8"""
"05-10-2019,""4,5"""
"06-10-2019,""4,5"""
"07-10-2019,""0,2"""
"08-10-2019,""3,5"""
"09-10-2019,""4,5"""
"10-10-2019,""2,7"""
"11-10-2019,""4,5"""
"12-10-2019,""11,3"""
"13-10-2019,""4,5"""
"14-10-2019,""1,5"""
"15-10-2019,""8,8"""
"16-10-2019,""4,5"""
"17-10-2019,""125,4"""
"18-10-2019,""5,3"""
"19-10-2019,""4,5"""
"20-10-2019,""4,5"""
21-10-2019,19
"22-10-2019,""0,5"""
"23-10-2019,""23,2"""
"24-10-2019,""2,6"""
"25-10-2019,""39,7"""
"26-10-2019,""0,8"""
"27-10-2019,""0,3"""
"28-10-2019,""18,9"""
29-10-2019,22
"30-10-2019,""0,7"""
"31-10-2019,""4,5"""
01-11-2019,5
"02-11-2019,""7,2"""
"03-11-2019,""4,5"""
"04-11-2019,""1,5"""
"05-11-2019,""4,5"""
"06-11-2019,""4,5"""
"07-11-2019,""4,5"""
"08-11-2019,""4,5"""
"09-11-2019,""4,5"""
"10-11-2019,""7,5"""
"11-11-2019,""4,5"""
"12-11-2019,""4,5"""
"13-11-2019,""4,5"""
"14-11-2019,""0,5"""
"15-11-2019,""4,5"""
"16-11-2019,""8,4"""
"17-11-2019,""4,5"""
"18-11-2019,""4,5"""
"19-11-2019,""4,5"""
20-11-2019,0
"21-11-2019,""4,5"""
"22-11-2019,""4,5"""
"23-11-2019,""4,5"""
"24-11-2019,""4,5"""
"25-11-2019,""4,5"""
"26-11-2019,""0,8"""
27-11-2019,0
"28-11-2019,""4,5"""
"29-11-2019,""4,5"""
"30-11-2019,""4,5"""
"01-12-2019,""4,5"""
02-12-2019,0
"03-12-2019,""1,4"""
04-12-2019,9
"05-12-2019,""0,3"""
"06-12-2019,""4,5"""
"07-12-2019,""4,5"""
08-12-2019,0
"09-12-2019,""4,5"""
"10-12-2019,""4,3"""
"11-12-2019,""4,5"""
"12-12-2019,""3,2"""
"13-12-2019,""4,5"""
14-12-2019,0
15-12-2019,0
"16-12-2019,""4,5"""
"17-12-2019,""4,5"""
"18-12-2019,""6,6"""
"19-12-2019,""5,8"""
"20-12-2019,""16,2"""
"21-12-2019,""0,1"""
22-12-2019,0
"23-12-2019,""1,4"""
"24-12-2019,""21,5"""
25-12-2019,0
"26-12-2019,""3,6"""
27-12-2019,5
"28-12-2019,""4,5"""
"29-12-2019,""3,3"""
30-12-2019,0
"31-12-2019,""4,5"""
"01-01-2020,""4,5"""
"02-01-2020,""4,5"""
"03-01-2020,""4,5"""
"04-01-2020,""5,9"""
"05-01-2020,""4,5"""
"06-01-2020,""6,3"""
07-01-2020,9
"08-01-2020,""4,5"""
"09-01-2020,""0,5"""
10-01-2020,0
"11-01-2020,""4,5"""
"12-01-2020,""10,8"""
"13-01-2020,""1,4"""
"14-01-2020,""1,5"""
15-01-2020,0
"16-01-2020,""4,5"""
"17-01-2020,""4,5"""
"18-01-2020,""4,5"""
"19-01-2020,""4,5"""
20-01-2020,0
"21-01-2020,""4,5"""
"22-01-2020,""0,2"""
"23-01-2020,""4,5"""
24-01-2020,0
25-01-2020,0
26-01-2020,0
"27-01-2020,""4,5"""
28-01-2020,0
29-01-2020,0
"30-01-2020,""4,5"""
"31-01-2020,""4,5"""
01-02-2020,0
"02-02-2020,""4,5"""
03-02-2020,0
04-02-2020,0
05-02-2020,0
"06-02-2020,""4,5"""
"07-02-2020,""10,3"""
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,0
"13-02-2020,""4,5"""
"14-02-2020,""4,5"""
"15-02-2020,""4,5"""
16-02-2020,0
"17-02-2020,""0,4"""
"18-02-2020,""4,5"""
"19-02-2020,""2,6"""
"20-02-2020,""5,7"""
"21-02-2020,""0,1"""
"22-02-2020,""4,5"""
"23-02-2020,""0,8"""
"24-02-2020,""0,1"""
"25-02-2020,""4,5"""
"26-02-2020,""5,7"""
"27-02-2020,""9,6"""
"28-02-2020,""2,5"""
"29-02-2020,""4,5"""
"01-03-2020,""4,5"""
"02-03-2020,""6,4"""
"03-03-2020,""3,4"""
"04-03-2020,""4,5"""
"05-03-2020,""0,7"""
"06-03-2020,""3,4"""
"07-03-2020,""2,6"""
"08-03-2020,""31,1"""
"09-03-2020,""4,5"""
"10-03-2020,""4,5"""
"11-03-2020,""4,5"""
"12-03-2020,""4,5"""
"13-03-2020,""4,5"""
"14-03-2020,""17,4"""
"15-03-2020,""4,5"""
"16-03-2020,""4,5"""
"17-03-2020,""4,5"""
"18-03-2020,""4,5"""
"19-03-2020,""7,4"""
"20-03-2020,""4,5"""
"21-03-2020,""32,5"""
"22-03-2020,""6,5"""
23-03-2020,9
"24-03-2020,""17,7"""
"25-03-2020,""0,2"""
"26-03-2020,""9,2"""
"27-03-2020,""4,5"""
"28-03-2020,""6,7"""
"29-03-2020,""4,7"""
30-03-2020,0
"31-03-2020,""4,5"""
"01-04-2020,""6,9"""
"02-04-2020,""20,4"""
"03-04-2020,""4,5"""
04-04-2020,0
05-04-2020,75
06-04-2020,0
07-04-2020,0
08-04-2020,0
09-04-2020,7
"10-04-2020,""4,5"""
11-04-2020,0
"12-04-2020,""4,5"""
"13-04-2020,""0,2"""
14-04-2020,0
"15-04-2020,""32,3"""
"16-04-2020,""11,5"""
"17-04-2020,""0,6"""
"18-04-2020,""0,2"""
19-04-2020,0
"20-04-2020,""4,5"""
"21-04-2020,""6,8"""
22-04-2020,0
"23-04-2020,""26,8"""
"24-04-2020,""4,7"""
"25-04-2020,""1,7"""
"26-04-2020,""3,6"""
27-04-2020,4
"28-04-2020,""4,5"""
"29-04-2020,""12,7"""
"30-04-2020,""21,4"""
01-05-2020,1
"02-05-2020,""4,5"""
03-05-2020,0
04-05-2020,0
"05-05-2020,""4,5"""
06-05-2020,0
07-05-2020,0
08-05-2020,0
09-05-2020,0
"10-05-2020,""1,4"""
"11-05-2020,""0,2"""
12-05-2020,0
"13-05-2020,""1,9"""
14-05-2020,0
15-05-2020,0
16-05-2020,0
"17-05-2020,""4,5"""
"18-05-2020,""12,1"""
"19-05-2020,""2,2"""
"20-05-2020,""8,8"""
"21-05-2020,""51,2"""
22-05-2020,0
"24-05-2020,""4,5"""
"25-05-2020,""3,3"""
"26-05-2020,""14,5"""
27-05-2020,0
28-05-2020,32
"29-05-2020,""3,6"""
30-05-2020,0
"31-05-2020,""5,8"""
"01-06-2020,""41,3"""
"02-06-2020,""5,8"""
"03-06-2020,""42,3"""
"04-06-2020,""4,4"""
05-06-2020,0
06-06-2020,0
"07-06-2020,""5,1"""
"08-06-2020,""0,6"""
09-06-2020,42
"10-06-2020,""5,9"""
"11-06-2020,""24,6"""
"12-06-2020,""40,6"""
"13-06-2020,""28,8"""
14-06-2020,37
"15-06-2020,""18,1"""
"16-06-2020,""0,9"""
"17-06-2020,""17,8"""
"18-06-2020,""21,7"""
"19-06-2020,""4,5"""
20-06-2020,34
"21-06-2020,""9,8"""
"22-06-2020,""4,6"""
"23-06-2020,""6,9"""
"24-06-2020,""35,9"""
"25-06-2020,""15,6"""
"26-06-2020,""6,2"""
"27-06-2020,""24,5"""
"28-06-2020,""32,2"""
"29-06-2020,""7,1"""
"30-06-2020,""1,3"""
01-07-2020,34
"02-07-2020,""4,5"""
"03-07-2020,""19,6"""
"04-07-2020,""58,1"""
"05-07-2020,""17,5"""
"06-07-2020,""3,3"""
"07-07-2020,""4,1"""
08-07-2020,12
09-07-2020,13
"10-07-2020,""9,7"""
"11-07-2020,""5,7"""
"12-07-2020,""8,1"""
"13-07-2020,""8,4"""
14-07-2020,2
"15-07-2020,""25,9"""
16-07-2020,34
"17-07-2020,""136,8"""
18-07-2020,12
"19-07-2020,""0,1"""
"20-07-2020,""0,8"""
21-07-2020,56
"22-07-2020,""6,6"""
"23-07-2020,""9,6"""
24-07-2020,53
"25-07-2020,""103,1"""
"26-07-2020,""29,1"""
"27-07-2020,""1,4"""
"28-07-2020,""34,9"""
"29-07-2020,""30,3"""
"30-07-2020,""5,7"""
"31-07-2020,""4,1"""
"01-08-2020,""38,4"""
"02-08-2020,""0,2"""
"03-08-2020,""0,2"""
"04-08-2020,""0,1"""
"05-08-2020,""0,5"""
"06-08-2020,""12,5"""
"07-08-2020,""3,8"""
"08-08-2020,""78,6"""
"09-08-2020,""29,4"""
"10-08-2020,""3,5"""
"11-08-2020,""36,8"""
"12-08-2020,""15,5"""
"13-08-2020,""0,3"""
"14-08-2020,""12,9"""
"15-08-2020,""32,3"""
"16-08-2020,""5,3"""
"17-08-2020,""49,8"""
"18-08-2020,""0,1"""
"19-08-2020,""6,4"""
"20-08-2020,""14,2"""
"21-08-2020,""8,4"""
"22-08-2020,""38,7"""
"23-08-2020,""13,4"""
24-08-2020,3
"25-08-2020,""4,5"""
"26-08-2020,""1,7"""
"27-08-2020,""5,5"""
"28-08-2020,""8,2"""
29-08-2020,3
"30-08-2020,""5,9"""
"31-08-2020,""0,4"""
"01-09-2020,""1,2"""
"02-09-2020,""58,7"""
"03-09-2020,""26,7"""
"04-09-2020,""4,5"""
"05-09-2020,""8,5"""
"06-09-2020,""1,2"""
"07-09-2020,""48,4"""
"08-09-2020,""45,9"""
09-09-2020,24
"10-09-2020,""17,8"""
"11-09-2020,""7,4"""
"12-09-2020,""2,1"""
"13-09-2020,""23,5"""
"14-09-2020,""82,9"""
"28-09-2020,""16,2"""
29-09-2020,3
"30-09-2020,""6,3"""
"01-10-2020,""4,5"""
"02-10-2020,""1,5"""
"03-10-2020,""47,9"""
"04-10-2020,""7,5"""
"05-10-2020,""4,5"""
"06-10-2020,""1,9"""
07-10-2020,11
"08-10-2020,""29,1"""
09-10-2020,0
"10-10-2020,""1,1"""
"11-10-2020,""4,5"""
12-10-2020,11
"13-10-2020,""2,5"""
"14-10-2020,""41,7"""
"15-10-2020,""33,5"""
"16-10-2020,""0,8"""
"17-10-2020,""63,7"""
18-10-2020,4
19-10-2020,2
"20-10-2020,""4,5"""
21-10-2020,4
"22-10-2020,""1,2"""
"23-10-2020,""0,2"""
"24-10-2020,""0,8"""
"25-10-2020,""4,8"""
26-10-2020,15
"27-10-2020,""29,7"""
"28-10-2020,""17,2"""
"29-10-2020,""46,6"""
30-10-2020,0
"31-10-2020,""16,8"""
"01-11-2020,""0,2"""
"02-11-2020,""52,5"""
"03-11-2020,""4,1"""
"04-11-2020,""12,7"""
05-11-2020,0
"06-11-2020,""4,5"""
07-11-2020,0
08-11-2020,0
"09-11-2020,""4,5"""
"10-11-2020,""3,5"""
"11-11-2020,""4,5"""
"12-11-2020,""11,8"""
13-11-2020,32
14-11-2020,2
15-11-2020,0
"16-11-2020,""5,2"""
"17-11-2020,""1,7"""
"18-11-2020,""17,1"""
"19-11-2020,""1,1"""
"20-11-2020,""13,7"""
"21-11-2020,""47,5"""
"22-11-2020,""0,8"""
"23-11-2020,""36,4"""
24-11-2020,0
"25-11-2020,""4,9"""
"26-11-2020,""9,2"""
"27-11-2020,""0,1"""
"28-11-2020,""1,6"""
"29-11-2020,""1,8"""
"30-11-2020,""12,8"""
"01-12-2020,""9,8"""
"02-12-2020,""7,1"""
03-12-2020,0
04-12-2020,0
"05-12-2020,""4,5"""
06-12-2020,0
"07-12-2020,""0,8"""
"08-12-2020,""4,5"""
09-12-2020,19
"10-12-2020,""4,5"""
"11-12-2020,""3,4"""
"12-12-2020,""1,2"""
"13-12-2020,""4,5"""
"14-12-2020,""4,5"""
"15-12-2020,""3,5"""
"16-12-2020,""11,5"""
"17-12-2020,""17,1"""
18-12-2020,0
"19-12-2020,""4,5"""
"20-12-2020,""0,9"""
"21-12-2020,""1,4"""
22-12-2020,14
"23-12-2020,""0,2"""
24-12-2020,12
"25-12-2020,""3,3"""
"26-12-2020,""28,5"""
"27-12-2020,""0,6"""
"28-12-2020,""5,8"""
"29-12-2020,""4,1"""
30-12-2020,0
31-12-2020,0
01-01-2021,0
"02-01-2021,""15,3"""
"03-01-2021,""3,6"""
"04-01-2021,""1,7"""
"05-01-2021,""11,8"""
"06-01-2021,""1,3"""
"07-01-2021,""23,4"""
08-01-2021,0
09-01-2021,12
10-01-2021,0
11-01-2021,0
"12-01-2021,""9,3"""
13-01-2021,1
14-01-2021,10
"15-01-2021,""30,3"""
"16-01-2021,""59,5"""
"17-01-2021,""12,1"""
"18-01-2021,""1,5"""
"19-01-2021,""0,2"""
20-01-2021,0
21-01-2021,0
"22-01-2021,""4,5"""
"23-01-2021,""4,5"""
"24-01-2021,""16,2"""
"25-01-2021,""9,3"""
"26-01-2021,""57,5"""
"27-01-2021,""21,8"""
"28-01-2021,""4,1"""
"29-01-2021,""69,6"""
30-01-2021,0
"31-01-2021,""2,2"""
"01-02-2021,""4,5"""
"02-02-2021,""1,9"""
"03-02-2021,""38,4"""
"04-02-2021,""4,5"""
05-02-2021,0
"06-02-2021,""4,5"""
07-02-2021,0
"08-02-2021,""8,4"""
"09-02-2021,""0,6"""
10-02-2021,0
11-02-2021,0
12-02-2021,0
"13-02-2021,""0,8"""
"14-02-2021,""0,7"""
"15-02-2021,""0,4"""
16-02-2021,25
17-02-2021,0
"18-02-2021,""15,9"""
"19-02-2021,""0,7"""
20-02-2021,0
"21-02-2021,""2,5"""
"22-02-2021,""1,6"""
"23-02-2021,""12,9"""
"24-02-2021,""2,5"""
"25-02-2021,""3,6"""
"26-02-2021,""60,5"""
"27-02-2021,""4,5"""
28-02-2021,0
01-03-2021,0
"02-03-2021,""41,2"""
"03-03-2021,""3,4"""
04-03-2021,2
"05-03-2021,""1,3"""
"06-03-2021,""4,5"""
"07-03-2021,""32,4"""
"08-03-2021,""0,6"""
"09-03-2021,""0,3"""
10-03-2021,0
11-03-2021,0
"12-03-2021,""39,7"""
"13-03-2021,""4,5"""
"14-03-2021,""0,6"""
"15-03-2021,""4,4"""
16-03-2021,0
"17-03-2021,""0,5"""
"18-03-2021,""4,5"""
"19-03-2021,""12,3"""
"20-03-2021,""20,1"""
21-03-2021,0
"22-03-2021,""38,8"""
"23-03-2021,""4,5"""
"24-03-2021,""6,9"""
"25-03-2021,""7,8"""
"26-03-2021,""1,8"""
"27-03-2021,""4,5"""
"28-03-2021,""3,4"""
"29-03-2021,""13,5"""
30-03-2021,0
"31-03-2021,""2,1"""
"01-04-2021,""2,8"""
"02-04-2021,""4,5"""
"03-04-2021,""33,4"""
04-04-2021,0
"05-04-2021,""8,2"""
06-04-2021,0
"07-04-2021,""3,5"""
"08-04-2021,""4,5"""
"09-04-2021,""13,5"""
"10-04-2021,""4,5"""
"11-04-2021,""6,4"""
"12-04-2021,""20,5"""
"13-04-2021,""1,9"""
"14-04-2021,""9,8"""
"15-04-2021,""0,8"""
"16-04-2021,""0,3"""
17-04-2021,0
"18-04-2021,""4,3"""
"19-04-2021,""4,8"""
"20-04-2021,""1,3"""
21-04-2021,0
22-04-2021,0
"23-04-2021,""4,5"""
"24-04-2021,""2,4"""
"25-04-2021,""3,5"""
26-04-2021,0
27-04-2021,0
"28-04-2021,""4,5"""
"29-04-2021,""1,6"""
"30-04-2021,""0,5"""
01-05-2021,0
"02-05-2021,""0,4"""
"03-05-2021,""15,1"""
"04-05-2021,""0,3"""
"05-05-2021,""4,2"""
"06-05-2021,""0,1"""
07-05-2021,3
08-05-2021,0
09-05-2021,8
10-05-2021,3
11-05-2021,0
"12-05-2021,""0,3"""
13-05-2021,0
"14-05-2021,""36,1"""
"15-05-2021,""12,8"""
"16-05-2021,""4,5"""
"17-05-2021,""9,6"""
"18-05-2021,""8,2"""
"19-05-2021,""4,3"""
"20-05-2021,""23,1"""
"21-05-2021,""6,2"""
"22-05-2021,""7,3"""
23-05-2021,0
"24-05-2021,""19,6"""
"25-05-2021,""4,5"""
"26-05-2021,""38,4"""
"27-05-2021,""4,5"""
"28-05-2021,""0,4"""
"29-05-2021,""10,8"""
"30-05-2021,""5,6"""
"31-05-2021,""13,5"""
"01-06-2021,""0,9"""
"02-06-2021,""6,1"""
"03-06-2021,""6,7"""
"04-06-2021,""14,3"""
"05-06-2021,""0,9"""
"06-06-2021,""3,6"""
07-06-2021,0
"08-06-2021,""0,3"""
09-06-2021,0
10-06-2021,0
"11-06-2021,""4,5"""
"12-06-2021,""66,4"""
"13-06-2021,""6,6"""
"14-06-2021,""48,6"""
"15-06-2021,""4,5"""
"16-06-2021,""20,5"""
"17-06-2021,""18,1"""
"18-06-2021,""0,7"""
19-06-2021,2
"20-06-2021,""15,3"""
"21-06-2021,""16,2"""
"22-06-2021,""4,3"""
"23-06-2021,""41,5"""
"24-06-2021,""9,4"""
"25-06-2021,""35,4"""
"26-06-2021,""4,5"""
"27-06-2021,""73,2"""
"28-06-2021,""23,7"""
"29-06-2021,""22,9"""
"30-06-2021,""16,2"""
"01-07-2021,""24,5"""
"02-07-2021,""0,2"""
03-07-2021,3
"04-07-2021,""20,9"""
"05-07-2021,""21,4"""
"06-07-2021,""15,3"""
"07-07-2021,""32,7"""
"08-07-2021,""6,4"""
"09-07-2021,""6,5"""
"10-07-2021,""30,6"""
11-07-2021,10
"12-07-2021,""14,8"""
"13-07-2021,""4,8"""
14-07-2021,4
"15-07-2021,""25,2"""
"16-07-2021,""24,4"""
"17-07-2021,""15,8"""
"18-07-2021,""2,2"""
"19-07-2021,""1,2"""
"20-07-2021,""0,1"""
"21-07-2021,""48,2"""
22-07-2021,7
"23-07-2021,""0,8"""
"24-07-2021,""4,5"""
"25-07-2021,""0,5"""
26-07-2021,0
27-07-2021,0
"28-07-2021,""4,5"""
"29-07-2021,""4,5"""
30-07-2021,2
31-07-2021,0
01-08-2021,0
02-08-2021,0
03-08-2021,0
04-08-2021,0
"05-08-2021,""7,6"""
"06-08-2021,""4,5"""
07-08-2021,7
"08-08-2021,""2,8"""
09-08-2021,0
"10-08-2021,""3,5"""
"11-08-2021,""8,7"""
"12-08-2021,""25,1"""
"13-08-2021,""22,2"""
"14-08-2021,""17,6"""
"15-08-2021,""17,8"""
"16-08-2021,""18,4"""
"17-08-2021,""21,4"""
"18-08-2021,""14,9"""
"19-08-2021,""3,6"""
"20-08-2021,""20,3"""
"21-08-2021,""16,4"""
"22-08-2021,""19,1"""
"23-08-2021,""17,6"""
"24-08-2021,""1,9"""
"25-08-2021,""91,9"""
"26-08-2021,""10,6"""
"27-08-2021,""15,5"""
"28-08-2021,""19,9"""
"29-08-2021,""42,3"""
"30-08-2021,""12,2"""
"31-08-2021,""24,9"""
"01-09-2021,""48,2"""
"02-09-2021,""2,2"""
03-09-2021,0
04-09-2021,9
05-09-2021,67
06-09-2021,7
07-09-2021,0
"08-09-2021,""11,2"""
"09-09-2021,""5,5"""
"10-09-2021,""21,6"""
"11-09-2021,""8,6"""
"12-09-2021,""105,2"""
"13-09-2021,""17,9"""
"14-09-2021,""9,1"""
"15-09-2021,""2,3"""
"16-09-2021,""16,5"""
"17-09-2021,""1,1"""
18-09-2021,40
"19-09-2021,""1,1"""
"20-09-2021,""23,8"""
"21-09-2021,""22,3"""
"22-09-2021,""1,8"""
"23-09-2021,""17,1"""
"24-09-2021,""18,5"""
"25-09-2021,""4,3"""
"26-09-2021,""25,6"""
"27-09-2021,""5,2"""
28-09-2021,23
"29-09-2021,""41,8"""
"30-09-2021,""2,3"""
"01-10-2021,""3,8"""
"02-10-2021,""7,8"""
"03-10-2021,""0,4"""
"04-10-2021,""12,3"""
05-10-2021,0
"06-10-2021,""1,4"""
07-10-2021,0
"08-10-2021,""5,6"""
"09-10-2021,""4,5"""
"10-10-2021,""1,1"""
11-10-2021,0
"12-10-2021,""4,5"""
"13-10-2021,""0,3"""
14-10-2021,0
"15-10-2021,""4,5"""
16-10-2021,0
17-10-2021,2
"18-10-2021,""4,5"""
"19-10-2021,""36,1"""
"20-10-2021,""48,6"""
"21-10-2021,""0,2"""
"22-10-2021,""3,2"""
"23-10-2021,""0,6"""
"24-10-2021,""31,7"""
"25-10-2021,""0,6"""
"26-10-2021,""3,7"""
27-10-2021,0
"28-10-2021,""15,2"""
"29-10-2021,""4,6"""
30-10-2021,0
"31-10-2021,""4,7"""
"01-11-2021,""4,5"""
"02-11-2021,""10,4"""
"03-11-2021,""5,6"""
"04-11-2021,""30,2"""
"05-11-2021,""37,5"""
"06-11-2021,""7,3"""
"07-11-2021,""9,7"""
08-11-2021,11
"09-11-2021,""2,2"""
"10-11-2021,""0,1"""
"11-11-2021,""1,8"""
"12-11-2021,""1,5"""
"13-11-2021,""73,3"""
"14-11-2021,""0,2"""
"15-11-2021,""45,4"""
"16-11-2021,""0,5"""
17-11-2021,0
18-11-2021,0
"19-11-2021,""4,5"""
20-11-2021,0
"21-11-2021,""16,9"""
"22-11-2021,""2,5"""
"23-11-2021,""9,2"""
24-11-2021,0
"25-11-2021,""4,6"""
"26-11-2021,""12,2"""
"27-11-2021,""1,6"""
"28-11-2021,""1,3"""
29-11-2021,0
30-11-2021,2
"01-12-2021,""8,4"""
"02-12-2021,""14,7"""
"03-12-2021,""8,4"""
04-12-2021,5
"05-12-2021,""23,5"""
"06-12-2021,""13,5"""
"07-12-2021,""4,5"""
"08-12-2021,""1,9"""
"09-12-2021,""23,8"""
"10-12-2021,""0,2"""
11-12-2021,0
"12-12-2021,""5,6"""
"13-12-2021,""11,9"""
14-12-2021,8
"15-12-2021,""2,6"""
"16-12-2021,""18,7"""
17-12-2021,0
"18-12-2021,""22,3"""
19-12-2021,8
"20-12-2021,""4,5"""
"21-12-2021,""74,2"""
22-12-2021,0
23-12-2021,39
"24-12-2021,""31,6"""
25-12-2021,0
"26-12-2021,""24,3"""
"27-12-2021,""2,2"""
"28-12-2021,""7,1"""
"29-12-2021,""49,9"""
30-12-2021,0
"31-12-2021,""4,5"""